ID,text
E1,Listening to music was a good way of entertaining myself
E2,The music gave me pleasure
E3,I enjoyed how the music made me feel
E4,I was delighted by the music
E5,I felt like I was enjoying myself because of the music
E6,I was having a good time listening to the music
E7,I used the music to have a good time
R1,The music made me feel calm or relaxed
R2,I used the music to soothe my mind
R3,I was using the music to relax
R4,I used the music to calm myself down and relax
R5,Listening to the music helped me recharge
R6,Relaxing with the music made me feel better
R7,Music provided a relaxing mood
D1,The music helped me break away from the situation
D2,The music pushed my worries aside
D3,The music allowed me to escape from my daily routines
D4,Music distracted my mind from the outside world
D5,I wanted to have background music on to distract myself
D6,Music acted as a mental shield against my distressing thoughts
D7,I wanted the music to help me forget what I was doing
D8,The music made me forget what I was thinking about
