ID,text
U1,I used the music to cope with my situation
U2,I found solace in the music
U3,Listening to music comforted me
U4,The music helped me understand different feelings in myself
U5,The music was like therapy for me
U6,The music was comforting to me
U7,The music helped me process my emotions
P1,I felt comforted by the music as if it understood me
P2,The music helped me reflect on how I was feeling
P3,The music made me feel secure
P4,The music helped me express myself
P5,The music expressed what I could not
P6,Listening to music allowed me to emotionally express myself
P7,I used the music to express how I was feeling
P8,Listening to music helped me express how I was feeling
P9,I vented my emotions by listening to music that expressed my feelings
P10,The music let me vent my frustration
P11,The music helped me work through my thoughts
P12,The music helped me release my mental tension
P13,Listening to music allowed me to figure out how I wanted to express myself
